Date,Close/Last,Volume,Open,High,Low
05/24/2021,$324.63,16445360,$318.21,$325.95,$318.03
05/21/2021,$316.23,13600900,$319.29,$319.93,$315.8101
05/20/2021,$318.61,17320240,$313.58,$319.25,$313.16
05/19/2021,$313.59,19106240,$304.185,$314.66,$303.57
05/18/2021,$309.96,14522400,$315.59,$316.5,$309.81
05/17/2021,$315.46,15371050,$313.55,$315.68,$311.58
05/14/2021,$315.94,19245720,$309.54,$316.85,$309.08
05/13/2021,$305.26,18079160,$306.0833,$308.86,$302.7701
05/12/2021,$302.55,24641010,$301.13,$304.96,$298.19
05/11/2021,$306.53,18920090,$300.75,$306.84,$299.69
05/10/2021,$305.97,24239170,$314.35,$314.5786,$304.83
05/07/2021,$319.08,15916740,$322.38,$322.935,$318.75
05/06/2021,$320.02,19012240,$314.52,$320.24,$313.275
05/05/2021,$315.02,15577610,$318.19,$321.06,$314.49
05/04/2021,$318.36,24032560,$320.025,$322.19,$313.12
05/03/2021,$322.58,18719460,$326.17,$328.55,$321.84
04/30/2021,$325.08,26332420,$326.144,$329.82,$324.5
04/29/2021,$329.51,56526770,$330.12,$331.81,$321.61
04/28/2021,$307.1,33907210,$307.36,$310.92,$305.37
04/27/2021,$303.57,15309260,$304.28,$305.34,$301.11
04/26/2021,$303.04,16172590,$303.34,$305.8,$301.56
04/23/2021,$301.13,17559500,$298.76,$302.59,$297.15
04/22/2021,$296.52,16375350,$301.33,$302.92,$296.04
04/21/2021,$301.47,14863470,$301.945,$301.98,$297.39
04/20/2021,$302.65,16796440,$301.99,$305.1,$297.21
04/19/2021,$302.24,14553510,$305.007,$307.7,$300.56
04/16/2021,$306.18,13059160,$308.17,$308.95,$304.61
04/15/2021,$307.82,14558270,$306.34,$310.14,$304.1
04/14/2021,$302.82,17421390,$307.3,$308.03,$301.95
04/13/2021,$309.76,14036930,$312.21,$314.428,$309.32
04/12/2021,$311.54,10881940,$311.05,$312.15,$307.93
04/09/2021,$312.46,15988570,$311.4,$314.74,$310.33
04/08/2021,$313.02,20894150,$314.85,$315.88,$310.05
04/07/2021,$313.09,22855240,$306.34,$314.25,$305.5
04/06/2021,$306.26,17335250,$308.837,$311.35,$305.25
04/05/2021,$308.91,28237010,$300.89,$310.765,$300.68
04/01/2021,$298.66,17615980,$298.4,$302.4,$296.6
03/31/2021,$294.53,19498160,$289.99,$296.5,$288.61
03/30/2021,$288,17474540,$289.83,$292.47,$286.7
03/29/2021,$290.82,21718830,$285.77,$293.18,$284.7
03/26/2021,$283.02,17629190,$278.302,$284.5,$277.77
03/25/2021,$278.74,24505650,$280.98,$288.06,$277.75
03/24/2021,$282.14,18675050,$291,$291.72,$281.16
03/23/2021,$290.63,23000930,$293.15,$298,$289.81
03/22/2021,$293.54,28273070,$290.45,$299.705,$286.7501
03/19/2021,$290.11,38930540,$281.22,$292.8,$281.195
03/18/2021,$278.62,18754850,$279.87,$285.1899,$278.28
03/17/2021,$284.01,21315040,$275.705,$286.23,$275.41
03/16/2021,$279.28,22437670,$276.085,$282.14,$274.8
03/15/2021,$273.75,16856750,$269.08,$275.96,$268.5
03/12/2021,$268.4,20600200,$269.14,$269.74,$264.02
03/11/2021,$273.88,21833980,$268.11,$277.9,$267.82
03/10/2021,$264.9,14210320,$268.64,$268.97,$262.87
03/09/2021,$265.74,22039740,$261.175,$268.53,$259.81
03/08/2021,$255.31,18391770,$265.55,$265.58,$255.05
03/05/2021,$264.28,26820060,$260.67,$265.45,$255.61
03/04/2021,$257.64,31626460,$256.47,$266.49,$253.5
03/03/2021,$255.41,15513520,$260.29,$260.9899,$255.1
03/02/2021,$259,15191720,$265.78,$266.71,$258.65
03/01/2021,$264.91,22157260,$260.82,$266.65,$257.9039
02/26/2021,$257.62,26619520,$256.47,$265.55,$256.47
02/25/2021,$254.69,19053140,$262.3,$266.94,$254.04
02/24/2021,$264.31,15736120,$262.325,$266.38,$258.39
02/23/2021,$265.855,21924560,$259.5,$267.46,$254.96
02/22/2021,$260.33,17434870,$257.95,$263.07,$257.53
02/19/2021,$261.56,25622590,$269.86,$270.27,$260.15
02/18/2021,$269.39,15249130,$269.565,$271.95,$266.03
